Constituency Name,Votes,Cons,Lab,LD,Other,Percentage Yes,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications,Age: Mean Age; measures: Value,Age: Median Age; measures: Value
Staffordshire Moorlands,43815,19793.0,13104.0,7338.0,68256.0,24.0,26.6,12.7,15.8,4.2,12.2,24.1,4.4,43.5,45.0
Stevenage,44651,18491.0,14913.0,7432.0,75294.0,29.0,20.9,17.4,17.6,3.7,11.7,23.9,4.8,38.4,38.0
Stockport,39128,9913.0,16697.0,9778.0,68163.0,33.3,23.7,14.1,15.6,3.6,11.8,27.3,3.9,38.1,38.0
Stratford-on-Avon,50542,26052.0,4809.0,14706.0,77045.0,25.6,19.5,11.8,15.5,3.5,11.5,33.6,4.7,44.3,46.0
Stroud,57973,23679.0,22380.0,8955.0,83801.0,34.8,18.3,13.3,15.8,4.7,12.3,32.1,3.6,42.0,44.0
Suffolk Coastal,54893,25475.0,8812.0,16347.0,83389.0,28.6,22.8,13.9,16.6,4.2,11.0,26.9,4.6,45.5,48.0
Surrey Heath,54347,31326.0,5552.0,14037.0,84102.0,24.7,15.9,13.7,16.2,3.6,12.3,33.3,4.9,40.2,41.0
Swansea East,32676,4823.0,16819.0,5981.0,67444.0,35.1,30.8,15.2,16.0,4.9,10.7,17.9,4.5,38.6,38.0
Swansea West,35593,7407.0,12335.0,11831.0,67923.0,38.6,20.9,10.0,13.5,3.3,19.2,27.9,5.1,39.0,36.0
Tamworth,46390,21238.0,15148.0,7516.0,77022.0,22.7,25.9,16.8,17.5,3.7,12.2,19.6,4.3,39.5,40.0
Taunton Deane,58150,24538.0,2967.0,28531.0,87195.0,32.0,20.5,13.0,17.9,3.7,12.3,28.1,4.6,41.8,43.0
Tewkesbury,53961,25472.0,6253.0,19162.0,82305.0,27.4,18.7,13.8,16.8,4.5,12.4,29.7,4.2,42.3,43.0
Thurrock,45821,16869.0,16777.0,4901.0,87613.0,24.8,26.5,17.9,17.1,3.0,10.7,18.1,6.7,35.6,35.0
Torbay,49210,19048.0,3231.0,23126.0,82634.0,28.5,25.3,15.0,17.5,4.5,12.0,20.7,4.9,43.6,45.0
Torfaen,37640,7541.0,16847.0,6264.0,70757.0,33.4,29.5,15.4,16.4,4.3,11.2,19.3,4.0,39.8,40.0
Tunbridge Wells,50320,28302.0,5448.0,12726.0,80289.0,30.0,16.9,12.4,16.4,2.8,12.0,34.9,4.6,39.6,40.0
Vale of Clwyd,35534,12508.0,15017.0,4472.0,61916.0,31.0,27.2,14.6,16.8,3.9,11.5,21.8,4.3,41.9,43.0
Vale of Glamorgan,48667,20341.0,16034.0,7403.0,77699.0,31.0,21.2,13.7,17.3,4.3,12.1,27.2,4.1,40.5,41.0
Wakefield,44444,15841.0,17454.0,7256.0,77306.0,29.2,28.1,14.6,15.9,4.4,10.9,20.5,5.7,39.7,40.0
Watford,55208,19291.0,14750.0,17866.0,86713.0,35.5,17.7,13.6,15.4,3.2,11.7,31.6,6.8,37.2,36.0
Waveney,51141,20571.0,19802.0,6811.0,85104.0,26.3,30.1,14.4,16.3,5.5,11.8,17.1,4.8,43.2,44.0
Wealden,54969,31090.0,5266.0,13911.0,83855.0,26.0,18.3,13.9,17.5,3.5,12.5,30.2,4.1,42.8,45.0
Wellingborough,51661,24918.0,13131.0,8848.0,84228.0,26.0,25.4,16.6,16.9,4.3,11.3,19.7,5.9,39.4,40.0
Welwyn Hatfield,48972,27894.0,10471.0,8010.0,77275.0,27.4,17.2,13.0,14.8,3.2,15.9,29.9,5.9,37.6,35.0
Wigan,44140,10917.0,21404.0,6797.0,83057.0,39.0,29.0,14.9,16.2,4.6,11.5,19.8,4.0,39.9,40.0
Winchester,55955,27155.0,3051.0,24107.0,78079.0,31.4,13.8,9.3,14.6,3.1,14.4,41.0,3.8,41.0,41.0
Woking,52786,26551.0,4246.0,19744.0,78720.0,30.8,15.2,12.2,14.4,2.6,11.3,38.0,6.2,38.6,38.0
Wokingham,54528,28754.0,5516.0,15262.0,84021.0,28.9,12.7,11.7,15.2,3.2,12.5,40.6,4.1,38.6,39.0
Worcester,48974,19358.0,16376.0,9525.0,79193.0,32.2,21.3,12.7,14.9,3.9,14.5,27.7,5.0,38.3,37.0
Wrexham,32976,8375.0,12161.0,8503.0,57460.0,32.1,26.5,13.2,15.8,3.8,11.3,23.8,5.7,40.0,40.0
Wycombe,48151,23423.0,8326.0,13863.0,79366.0,30.4,17.9,13.0,15.0,3.4,12.9,31.4,6.3,36.7,35.0
Wyre Forest,50899,18793.0,7298.0,6040.0,98135.0,26.1,27.8,14.2,16.1,3.8,11.4,22.1,4.6,42.7,44.0
