geography,Mean.Age,Median.Age,Percentage.Age.18.to.19,Percentage.Age.20.to.24,Percentage.Age.25.to.29,Percentage.Age.30.to.44,Percentage.Age.45.to.59,Percentage.Age.60.to.64,Percentage.Age.65.to.74,Percentage.Age.75.to.84,Percentage.Age.85.to.89,Percentage.Age.90.and.over
Waveney,43.2,44.0,2.230809766379765,5.327204949548178,5.135936920584734,17.522493510549015,19.11606846614751,7.6282764408532895,11.833245506177176,7.7239104553350115,2.1176103206667056,1.1944493237308977
Welwyn Hatfield,37.6,35.0,3.9419480987907436,10.641266586935474,7.183400725174175,19.646145376540044,18.12460846289652,4.8379748277236745,7.062854756345274,5.562199821553999,1.4769254133682632,0.788769292100917
West Suffolk,39.5,39.0,2.0098065153359084,6.745506816939168,7.6256239307194384,20.4587544314514,18.591812617951568,6.398927632855354,9.11512072949186,5.6087623683792796,1.4295288992362911,0.7231423179356933
Witham,41.4,42.0,2.125999389340601,5.179296384670187,5.050379400422938,19.936898528763187,20.795214239672504,7.625326533150889,9.925476936299178,5.810311097038301,1.5922378405274287,0.8809327256895363
Barking,32.5,31.0,2.5328460588817214,7.098182531701454,8.486424174045277,24.293411166433657,15.507754694922044,3.3855763492024558,4.537538936989527,3.285014675463769,0.9941706932214892,0.4112400153704021
Battersea,34.2,32.0,1.2688714166565145,7.753797711533235,17.942254167877124,31.751773514886278,13.53962646074839,3.294005191689548,4.46916380061663,2.4983834540666674,0.5978877133137785,0.3214349305119531
Beckenham,41.0,42.0,2.0077921182379237,5.053384054889612,5.441840686809714,20.605440691406834,21.1616921998368,6.4198779464665385,8.488581903437495,6.561239383526221,1.8756249209870017,0.9860822194894899
Bermondsey and Old Southwark,33.4,30.0,2.903842809946096,11.917295015886566,15.500071133873949,28.07100741373042,14.85828551556251,2.9030524335688654,3.65311961556093,2.3355621947171246,0.6583835222332874,0.2837451194258706
Bethnal Green and Bow,31.3,28.0,3.329052021922442,13.517243580027284,16.226436167242383,25.892892757137957,11.459023063238426,2.3135036816618935,3.4543003246882753,2.502572775645986,0.5855557594275275,0.25528316487303654
Bexleyheath and Crayford,38.8,39.0,2.425780894271924,6.232355887441946,5.901101903287496,20.562790274109826,19.64415809124852,5.659775976687005,8.084418541116474,5.726937437391859,1.4468172297604953,0.6921045442127312
Brent Central,33.9,32.0,2.423638295085784,7.84862992767648,11.007145039945284,24.726058295376824,16.859965948282134,3.501942694160276,5.290385482908657,3.2028987616234232,0.6162778853010085,0.27867110988227417
Brent North,36.1,33.0,2.4843560287662276,7.988543320569098,10.662027956788393,22.696989508421282,17.81700445191619,4.456586034058716,6.450608636094766,4.090003424550917,0.9471996513184521,0.5051212602347374
Brentford and Isleworth,35.7,34.0,2.04035595382557,6.978281838265037,10.668502442515324,27.104919256977507,17.217399421263885,4.3436323469927505,5.74380036715517,3.480195401225925,0.8828837238246368,0.45661034879741125
Bromley and Chislehurst,39.3,39.0,1.9834598851443594,5.277943880947277,6.16587501269279,22.627012512269694,19.093339952387936,5.54646689156409,7.865016416007582,5.739397289948439,1.7961707264788511,1.1440434149808762
Camberwell and Peckham,33.4,32.0,2.4180282050053505,8.172424256943446,10.34928848641656,27.508664334882532,17.152987398783,3.1455129126539214,4.291441074537237,2.5649625477137334,0.6188810630380273,0.30983980962419944
Carshalton and Wallington,37.4,37.0,2.268101802312163,5.874824279809488,6.793814649293973,22.974759237112107,19.720526216403346,5.291538154885546,6.84207213444955,4.511025786282286,1.1749648559618975,0.580138897631187
Chelsea and Fulham,36.8,34.0,1.6339158159645022,8.04753209646442,12.869807090078242,28.439785424373444,16.07330387806655,4.4655950500014185,6.3559041410825285,3.639649185880394,0.991513477203705,0.5818518974048459
